S,T,W,CW,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,Avg
10,8,8,5,20,22,22,17,18,18,21,17,20,20,20,17,16,29,19,21,14,22,27,22,25,21,19,16,14,21,19,22,23,28,2.03E+01
10,8,8,6,33,29,25,35,33,25,33,27,31,23,30,23,32,27,31,23,29,21,30,28,24,28,27,28,29,27,24,26,25,26,2.77E+01
10,8,8,7,40,43,33,43,38,38,35,37,35,44,33,39,34,40,44,42,43,30,39,39,40,41,42,30,36,33,33,39,37,41,3.80E+01
10,8,8,8,49,53,51,38,53,53,53,55,58,49,57,51,52,51,47,48,54,50,42,44,55,44,46,50,50,47,43,48,45,59,4.98E+01
10,8,10,4,27,23,25,23,12,24,24,23,22,23,19,19,23,22,17,22,17,23,22,14,18,22,15,17,16,24,29,25,17,18,2.08E+01
10,8,10,5,32,27,33,27,35,31,33,35,30,29,29,30,31,38,27,27,30,30,33,29,31,31,32,33,27,37,35,23,32,30,3.09E+01
10,8,10,6,36,39,41,39,44,42,40,45,39,38,48,46,43,51,44,51,48,47,42,41,37,42,47,46,42,41,43,38,42,36,4.26E+01
10,8,10,7,62,63,69,57,52,68,65,48,52,54,60,48,63,57,72,58,69,64,66,54,63,52,55,57,52,63,56,56,47,75,5.92E+01
10,9,8,6,34,30,24,28,23,21,32,17,27,25,33,20,28,22,26,27,28,34,24,28,25,31,27,36,25,29,38,22,27,34,2.75E+01
10,9,8,7,40,29,40,39,35,40,42,38,44,36,33,31,33,40,40,37,34,29,32,41,43,37,30,40,38,39,40,35,35,34,3.68E+01
10,9,8,8,49,58,48,42,59,46,43,50,50,40,59,45,48,52,59,47,47,52,50,53,44,54,58,41,51,43,55,51,35,52,4.94E+01
10,9,8,9,66,52,57,64,45,47,76,54,51,62,65,53,63,62,73,54,59,68,67,66,63,65,59,63,56,69,72,56,61,67,6.12E+01
10,9,10,5,25,35,31,34,26,39,29,34,26,36,31,28,30,42,31,31,36,27,27,33,35,38,24,32,29,34,29,28,25,25,31
10,9,10,6,44,41,42,48,43,35,49,47,47,49,37,34,42,44,49,43,41,50,50,40,42,40,45,46,33,49,44,41,44,43,4.34E+01
10,9,10,7,65,66,59,67,63,62,60,57,67,72,54,59,62,52,60,58,57,62,64,63,59,58,70,58,51,54,56,62,61,56,6.05E+01
12,10,8,8,35,42,37,35,50,43,42,40,32,36,41,39,37,37,41,30,46,32,46,44,41,38,43,42,42,44,45,37,31,46,3.98E+01
12,10,8,9,52,50,46,48,51,52,45,46,49,56,47,55,47,47,51,42,45,42,41,43,46,44,44,42,53,47,45,53,52,41,4.74E+01
12,10,8,10,51,60,54,61,66,65,55,55,62,59,62,56,70,54,69,58,57,45,49,58,53,64,58,67,52,52,53,65,65,62,5.86E+01
12,10,8,11,78,60,63,62,66,64,71,83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73E+01
12,10,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
12,10,10,8,60,73,58,56,62,60,73,58,55,62,65,67,65,57,72,59,59,60,56,63,58,57,69,61,62,59,52,55,55,53,6.07E+01
12,10,10,9,71,77,86,75,69,73,76,86,72,67,76,93,89,87,76,74,76,63,77,77,66,80,76,64,68,78,57,70,84,76,7.53E+01
12,10,10,10,77,84,81,92,104,106,76,92,82,97,90,96,83,97,85,91,93,109,101,92,98,95,83,95,95,95,103,91,104,89,9.25E+01
12,10,10,11,103,125,125,92,100,117,129,95,116,124,119,101,104,120,124,99,115,114,119,0,0,0,0,0,0,0,0,0,0,0,1.13E+02
